0.215,0.203,0.7047,0.7101,F
0.3,0.3,0.7047,0.7101,0
0.4,0.4,0.7047,0.7101,0
0.5,0.5,0.7047,0.7101,0
0.6,0.6,0.7047,0.7101,0
0.7,0.6,0.7047,0.7101,0
0.8,0.6,0.7047,0.7101,0
0.9,0.6,0.7047,0.7101,0
1,0.6,0.7047,0.7101,0
1.1,0.6,0.7047,0.7101,0
1.2,0.5,0.7047,0.7101,0
1.3,0.4,0.7047,0.7101,0
1.4,0.3,0.7047,0.7101,0
1.5554,0.2601,0.8028,0.5963,W
1.4675,0.3985,0.8062,0.5915,w
1.4475,0.4185,0.8062,0.5915,s
1.4266,0.3981,0.8047,0.5938,X
1.7419,0.4517,0.8079,0.5895,W
1.6333,0.5785,0.8015,0.5978,w
1.6333,0.5785,0.8015,0.5978,s
1.5764,0.6153,0.7995,0.6006,X
1.8369,0.6763,0.2328,0.9725,D
1.8346,0.8505,0.2448,0.9695,P
1.8314,1.2291,0.2455,0.9695,D
1.8329,1.7956,0.2338,0.9722,P
1.6369,0.3759,0.8011,0.5986,R
1.6493,0.3695,-0.9293,0.3691,f
0.2028,0.2177,-0.2464,0.9691,r
0.3156,0.1362,0.5239,0.8513,G
1.2782,0.2851,0.4978,0.8672,C
1.2838,0.2901,1,0,H
1.2781,0.2151,1,0,S
0.6942,0.3195,0.9852,0.1711,orz
